,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,slope20,slope20s1p,slope_chg_up,slope_chg_dn,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdps1,macdsps1,dn_to_up,up_to_dn,vol_gt2
46,2022-06-30 00:25:00,11643.0,11643.0,11643.0,11643.0,-10.04827151828431,-0.043363972793438066,-10.004907545490871,33.00593201800686,0,0,11648.125,11654.5,,-37.05064083025302,-35.30995673276566,n,y,-8.995534690799104,-9.803032974552519,y,y,n,n,-10.202153483282018,-9.994066552292512,n,n,y
47,2022-06-30 00:25:00,11653.25,11653.25,11653.25,11653.25,-8.995534690799104,0.8074982837534144,-9.803032974552519,44.939716405653975,0,0,11648.125,11653.825,,-23.307829236411013,-37.05064083025302,n,y,-8.068227664240112,-9.456071912490037,n,n,y,y,-10.04827151828431,-10.004907545490871,y,n,y
48,2022-06-30 00:26:00,11653.25,11653.25,11653.25,11653.25,-8.068227664240112,1.387844248249925,-9.456071912490037,44.93971640565398,0,0,11648.175,11653.225,,-7.074840044163706,-23.307829236411013,n,y,-7.389360590279466,-9.042729648047922,n,n,n,n,-8.995534690799104,-9.803032974552519,n,n,y
49,2022-06-30 00:26:00,11651.5,11651.5,11651.5,11651.5,-7.389360590279466,1.6533690577684563,-9.042729648047922,43.40862398457934,0,0,11648.175,11652.475,11673.595,4.924784474626697,-7.074840044163706,n,y,-6.713446380306777,-8.576872994499693,n,n,n,n,-8.068227664240112,-9.456071912490037,n,n,y
50,2022-06-30 00:27:00,11652.25,11652.25,11652.25,11652.25,-6.713446380306777,1.8634266141929157,-8.576872994499693,44.28472315716985,0,0,11648.425,11651.8875,11672.825,14.408634191355082,4.924784474626697,y,n,-6.266921613174418,-8.114882718234638,n,n,n,n,-7.389360590279466,-9.042729648047922,n,n,y
51,2022-06-30 00:27:00,11650.25,11650.25,11650.25,11650.25,-6.266921613174418,1.8479611050602198,-8.114882718234638,42.39968950334779,0,0,11648.175,11651.1875,11671.98,24.668776542605823,14.408634191355082,y,n,-5.686118201736463,-7.629129814935003,n,n,n,n,-6.713446380306777,-8.576872994499693,n,n,y
52,2022-06-30 00:28:00,11652.25,11652.25,11652.25,11652.25,-5.686118201736463,1.9430116131985402,-7.629129814935003,44.924386153128175,0,0,11647.9,11650.7125,11671.185,42.12615374776395,24.668776542605823,y,n,-5.106444666260359,-7.124592785200074,n,n,n,n,-6.266921613174418,-8.114882718234638,n,n,y
53,2022-06-30 00:28:00,11653.0,11653.0,11653.0,11653.0,-5.106444666260359,2.018148118939715,-7.124592785200074,45.88232863070136,0,0,11649.2,11650.45,11670.28,37.23909395416962,42.12615374776395,y,n,-4.833407626598273,-6.6663557534797135,n,n,n,n,-5.686118201736463,-7.629129814935003,n,n,y
54,2022-06-30 00:29:00,11650.0,11650.0,11650.0,11650.0,-4.833407626598273,1.8329481268814405,-6.6663557534797135,42.684227549154315,0,0,11650.425,11650.0875,11669.29,27.362316359262028,37.23909395416962,y,n,-4.604294189522989,-6.253943440688369,n,n,n,n,-5.106444666260359,-7.124592785200074,n,n,y
55,2022-06-30 00:29:00,11649.5,11649.5,11649.5,11649.5,-4.604294189522989,1.6496492511653802,-6.253943440688369,42.156817997433926,0,0,11650.825,11649.9625,11668.205,10.47691877106626,27.362316359262028,y,n,-4.212774611307395,-5.845709674812174,n,n,n,n,-4.833407626598273,-6.6663557534797135,n,n,y
56,2022-06-30 00:30:00,11651.5,11651.5,11651.5,11651.5,-4.212774611307395,1.632935063504779,-5.845709674812174,45.079999434595145,0,0,11651.675,11649.9,11667.175,-33.352185632703346,10.47691877106626,y,n,-3.5788173963373993,-5.392331219117219,n,n,n,n,-4.604294189522989,-6.253943440688369,n,n,y
57,2022-06-30 00:30:00,11655.0,11655.0,11655.0,11655.0,-3.5788173963373993,1.8135138227798198,-5.392331219117219,49.855808561600576,0,0,11651.85,11649.9875,11666.245,1.1362962168361754,-33.352185632703346,n,y,-3.0014569869290426,-4.914156372679583,n,n,n,n,-4.212774611307395,-5.845709674812174,n,n,y
58,2022-06-30 00:31:00,11655.5,11655.5,11655.5,11655.5,-3.0014569869290426,1.9126993857505408,-4.914156372679583,50.51779954740625,0,0,11652.075,11650.125,11665.255,24.551782467427877,1.1362962168361754,y,n,-2.4750184099066246,-4.426328780124992,n,n,n,n,-3.5788173963373993,-5.392331219117219,n,n,y
59,2022-06-30 00:31:00,11656.0,11656.0,11656.0,11656.0,-2.4750184099066246,1.9513103702183674,-4.426328780124992,51.211439548736394,0,0,11652.525,11650.35,11664.49,33.62529519301235,24.551782467427877,y,n,-2.27367743463401,-3.9957985110267957,n,n,n,n,-3.0014569869290426,-4.914156372679583,n,n,y
60,2022-06-30 00:32:00,11653.0,11653.0,11653.0,11653.0,-2.27367743463401,1.7221210763927859,-3.9957985110267957,46.958086332762214,0,0,11652.6,11650.5125,11663.665,34.03998918330218,33.62529519301235,y,n,-2.927627639937782,-3.782164336808993,n,n,n,n,-2.4750184099066246,-4.426328780124992,n,n,y
61,2022-06-30 00:32:00,11642.5,11642.5,11642.5,11642.5,-2.927627639937782,0.8545366968712109,-3.782164336808993,35.762534924927664,0,0,11651.825,11650.0,11662.655,-8.332560096374154,34.03998918330218,y,n,-3.426561531387051,-3.7110437757246046,n,n,n,n,-2.27367743463401,-3.9957985110267957,n,n,y
62,2022-06-30 00:33:00,11642.25,11642.25,11642.25,11642.25,-3.426561531387051,0.2844822443375534,-3.7110437757246046,35.545238826746385,0,0,11650.825,11649.3625,11661.665,-25.037628026289447,-8.332560096374154,n,y,-4.815452055669084,-3.9319254317135006,y,y,n,n,-2.927627639937782,-3.782164336808993,n,n,y
63,2022-06-30 00:33:00,11629.25,11629.25,11629.25,11629.25,-4.815452055669084,-0.8835266239555835,-3.9319254317135006,26.52113991537062,0,0,11648.45,11648.825,11660.52,-30.423830381365594,-25.037628026289447,n,y,-5.96839532049853,-4.339219409470506,n,n,y,y,-3.426561531387051,-3.7110437757246046,n,y,y
64,2022-06-30 00:34:00,11627.75,11627.75,11627.75,11627.75,-5.96839532049853,-1.6291759110280237,-4.339219409470506,25.710070059949004,0,0,11646.225,11648.325,11659.35,-41.44012642521854,-30.423830381365594,n,y,-7.521631265073665,-4.975701780591138,n,n,n,n,-4.815452055669084,-3.9319254317135006,n,n,y
65,2022-06-30 00:34:00,11618.75,11618.75,11618.75,11618.75,-7.521631265073665,-2.545929484482527,-4.975701780591138,21.467871480168398,0,0,11643.15,11646.9875,11657.845,-44.388802252446325,-41.44012642521854,n,y,-8.712666477887979,-5.723094720050506,n,n,n,n,-5.96839532049853,-4.339219409470506,n,n,y
66,2022-06-30 00:35:00,11618.0,11618.0,11618.0,11618.0,-8.712666477887979,-2.9895717578374725,-5.723094720050506,21.154617677084616,0,0,11639.8,11645.7375,11656.345,-49.05574930421991,-44.388802252446325,n,y,-9.426865958264898,-6.463848967693385,n,n,n,n,-7.521631265073665,-4.975701780591138,n,n,y
67,2022-06-30 00:35:00,11619.5,11619.5,11619.5,11619.5,-9.426865958264898,-2.9630169905715134,-6.463848967693385,23.557094627066697,0,0,11636.25,11644.05,11654.815,-49.597216604340545,-49.05574930421991,n,y,-9.978710383536963,-7.1668212508621005,n,n,n,n,-8.712666477887979,-5.723094720050506,n,n,y
68,2022-06-30 00:36:00,11618.25,11618.25,11618.25,11618.25,-9.978710383536963,-2.811889132674863,-7.1668212508621005,22.93005990178103,0,0,11632.525,11642.3,11653.265,-47.81608952941908,-49.597216604340545,n,y,-10.736096068481856,-7.880676214386051,n,n,n,n,-9.426865958264898,-6.463848967693385,n,n,y
69,2022-06-30 00:36:00,11612.75,11612.75,11612.75,11612.75,-10.736096068481856,-2.855419854095805,-7.880676214386051,20.361881801547433,0,0,11628.2,11640.3625,11652.11,-43.01584306871088,-47.81608952941908,n,y,-10.92793845903907,-8.490128663316655,n,n,n,n,-9.978710383536963,-7.1668212508621005,n,n,y
