,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdh_s1,macdh_trend_abv_up,macdh_trend_abv_dn,macdh_trend_blw_up,macdh_trend_blw_dn,macdps1,macdsps1,dn_to_up,up_to_dn,vol_gt2
0,2022-06-30 00:01:00,11690.75,11690.75,11690.75,11690.75,,,,,0,0,,,,,,n,n,,,,n,n,n,n,,,n,n,n
1,2022-06-30 00:02:00,11692.5,11692.5,11692.5,11692.5,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
2,2022-06-30 00:03:00,11692.0,11692.0,11692.0,11692.0,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
3,2022-06-30 00:03:00,11698.25,11698.25,11698.25,11698.25,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
4,2022-06-30 00:04:00,11699.5,11699.5,11699.5,11699.5,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
5,2022-06-30 00:04:00,11703.75,11703.75,11703.75,11703.75,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
6,2022-06-30 00:05:00,11703.0,11703.0,11703.0,11703.0,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
7,2022-06-30 00:05:00,11701.5,11701.5,11701.5,11701.5,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
8,2022-06-30 00:06:00,11705.0,11705.0,11705.0,11705.0,,,,,0,0,,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
9,2022-06-30 00:06:00,11694.25,11694.25,11694.25,11694.25,,,,,0,0,11698.05,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
10,2022-06-30 00:07:00,11694.25,11694.25,11694.25,11694.25,,,,,0,0,11698.4,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
11,2022-06-30 00:07:00,11693.0,11693.0,11693.0,11693.0,,,,,0,0,11698.45,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
12,2022-06-30 00:08:00,11691.75,11691.75,11691.75,11691.75,,,,,0,0,11698.425,,,,,n,n,n,n,,n,n,n,n,,,n,n,n
